"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Evaluate the product of 7 times 2.",14,,,,12,,,typing
2,"Evaluate the product of -9 times -12.",108,,,,12,,,typing
3,"Evaluate the sum of 4 plus -10.",-6,,,,12,,,typing
4,"Evaluate the sum of 6 plus -12.",-6,,,,12,,,typing
5,"Evaluate the quotient of 60 divided by -10.",-6,,,,12,,,typing
6,"Evaluate the product of -7 times -4.",28,,,,12,,,typing
7,"Evaluate the sum of 12 plus -2.",10,,,,12,,,typing
8,"Evaluate the quotient of 32 divided by -8.",-4,,,,12,,,typing
9,"Evaluate the product of 12 times -2.",-24,,,,12,,,typing
10,"Evaluate the product of 11 times 10.",110,,,,12,,,typing
11,"Evaluate the product of -3 times -11.",33,,,,12,,,typing
12,"Evaluate the product of -4 times -7.",28,,,,12,,,typing
13,"Evaluate the difference of 4 minus -4.",8,,,,12,,,typing
14,"Evaluate the product of -5 times -6.",30,,,,12,,,typing
15,"Evaluate the sum of -6 plus 5.",-1,,,,12,,,typing
16,"Evaluate the sum of 1 plus 4.",5,,,,12,,,typing
17,"Evaluate the product of 2 times -2.",-4,,,,12,,,typing
18,"Evaluate the sum of -6 plus 3.",-3,,,,12,,,typing
19,"Evaluate the sum of -5 plus 9.",4,,,,12,,,typing
20,"Evaluate the sum of 5 plus 8.",13,,,,12,,,typing
21,"Evaluate the difference of -17 minus -11.",-6,,,,12,,,typing
22,"Evaluate the difference of -13 minus -5.",-8,,,,12,,,typing
23,"Evaluate the product of 1 times 8.",8,,,,12,,,typing
24,"Evaluate the quotient of 84 divided by 12.",7,,,,12,,,typing
25,"Evaluate the difference of -4 minus 8.",-12,,,,12,,,typing
26,"Evaluate the quotient of 96 divided by 8.",12,,,,12,,,typing
27,"Evaluate the product of 10 times -8.",-80,,,,12,,,typing
28,"Evaluate the difference of -2 minus -6.",4,,,,12,,,typing
29,"Evaluate the quotient of 16 divided by -2.",-8,,,,12,,,typing
30,"Evaluate the product of 10 times 3.",30,,,,12,,,typing
31,"Evaluate the product of 4 times 10.",40,,,,12,,,typing
32,"Evaluate the quotient of -4 divided by -4.",1,,,,12,,,typing
33,"Evaluate the difference of -18 minus -7.",-11,,,,12,,,typing
34,"Evaluate the difference of -4 minus -6.",2,,,,12,,,typing
35,"Evaluate the quotient of 8 divided by 2.",4,,,,12,,,typing
36,"Evaluate the product of 8 times 10.",80,,,,12,,,typing
37,"Evaluate the product of -4 times -8.",32,,,,12,,,typing
38,"Evaluate the quotient of -36 divided by 6.",-6,,,,12,,,typing
39,"Evaluate the difference of 10 minus 1.",9,,,,12,,,typing
40,"Evaluate the quotient of 18 divided by 9.",2,,,,12,,,typing
41,"Evaluate the product of 6 times 2.",12,,,,12,,,typing
42,"Evaluate the product of -4 times 2.",-8,,,,12,,,typing
43,"Evaluate the product of 1 times -3.",-3,,,,12,,,typing
44,"Evaluate the sum of 4 plus -3.",1,,,,12,,,typing
45,"Evaluate the product of 6 times -8.",-48,,,,12,,,typing
46,"Evaluate the product of -4 times 5.",-20,,,,12,,,typing
47,"Evaluate the sum of -2 plus -11.",-13,,,,12,,,typing
48,"Evaluate the sum of -4 plus -5.",-9,,,,12,,,typing
49,"Evaluate the product of -7 times 2.",-14,,,,12,,,typing
50,"Evaluate the difference of 2 minus 6.",-4,,,,12,,,typing
51,"Evaluate the product of -8 times 1.",-8,,,,12,,,typing
52,"Evaluate the quotient of -80 divided by -8.",10,,,,12,,,typing
53,"Evaluate the quotient of -16 divided by 2.",-8,,,,12,,,typing
54,"Evaluate the quotient of 30 divided by 6.",5,,,,12,,,typing
55,"Evaluate the quotient of -6 divided by 6.",-1,,,,12,,,typing
56,"Evaluate the sum of 8 plus -7.",1,,,,12,,,typing
57,"Evaluate the quotient of -11 divided by -1.",11,,,,12,,,typing
58,"Evaluate the sum of -7 plus 8.",1,,,,12,,,typing
59,"Evaluate the difference of -6 minus 5.",-11,,,,12,,,typing
60,"Evaluate the sum of 5 plus -2.",3,,,,12,,,typing
61,"Evaluate the product of -7 times 8.",-56,,,,12,,,typing
62,"Evaluate the product of 4 times 10.",40,,,,12,,,typing
63,"Evaluate the sum of -12 plus 2.",-10,,,,12,,,typing
64,"Evaluate the sum of -7 plus 11.",4,,,,12,,,typing
65,"Evaluate the sum of -2 plus -5.",-7,,,,12,,,typing
66,"Evaluate the sum of 8 plus -10.",-2,,,,12,,,typing
67,"Evaluate the sum of 4 plus -8.",-4,,,,12,,,typing
68,"Evaluate the quotient of 6 divided by -2.",-3,,,,12,,,typing
69,"Evaluate the difference of -10 minus -8.",-2,,,,12,,,typing
70,"Evaluate the sum of -6 plus -12.",-18,,,,12,,,typing
71,"Evaluate the product of 10 times -5.",-50,,,,12,,,typing
72,"Evaluate the quotient of -120 divided by 10.",-12,,,,12,,,typing
73,"Evaluate the product of -1 times 5.",-5,,,,12,,,typing
74,"Evaluate the sum of -4 plus -5.",-9,,,,12,,,typing
