"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Rewrite using addition: -9 - (-9)",-9+9,-9 + 9,,,12,,,typing
2,"Rewrite using addition: -9 - (-8)",-9+8,-9 + 8,,,12,,,typing
3,"Rewrite using addition: -9 - (-7)",-9+7,-9 + 7,,,12,,,typing
4,"Rewrite using addition: -9 - (-6)",-9+6,-9 + 6,,,12,,,typing
5,"Rewrite using addition: -9 - (-5)",-9+5,-9 + 5,,,12,,,typing
6,"Rewrite using addition: -9 - (-4)",-9+4,-9 + 4,,,12,,,typing
7,"Rewrite using addition: -9 - (-3)",-9+3,-9 + 3,,,12,,,typing
8,"Rewrite using addition: -9 - (-2)",-9+2,-9 + 2,,,12,,,typing
9,"Rewrite using addition: -9 - (-1)",-9+1,-9 + 1,,,12,,,typing
10,"Rewrite using addition: -9 - 1",-9+-1,-9 + -1,-9+(-1),-9 + (-1),12,,,typing
11,"Rewrite using addition: -9 - 2",-9+-2,-9 + -2,-9+(-2),-9 + (-2),12,,,typing
12,"Rewrite using addition: -9 - 3",-9+-3,-9 + -3,-9+(-3),-9 + (-3),12,,,typing
13,"Rewrite using addition: -9 - 4",-9+-4,-9 + -4,-9+(-4),-9 + (-4),12,,,typing
14,"Rewrite using addition: -9 - 5",-9+-5,-9 + -5,-9+(-5),-9 + (-5),12,,,typing
15,"Rewrite using addition: -9 - 6",-9+-6,-9 + -6,-9+(-6),-9 + (-6),12,,,typing
16,"Rewrite using addition: -9 - 7",-9+-7,-9 + -7,-9+(-7),-9 + (-7),12,,,typing
17,"Rewrite using addition: -9 - 8",-9+-8,-9 + -8,-9+(-8),-9 + (-8),12,,,typing
18,"Rewrite using addition: -9 - 9",-9+-9,-9 + -9,-9+(-9),-9 + (-9),12,,,typing
19,"Rewrite using addition: -8 - (-9)",-8+9,-8 + 9,,,12,,,typing
20,"Rewrite using addition: -8 - (-8)",-8+8,-8 + 8,,,12,,,typing
21,"Rewrite using addition: -8 - (-7)",-8+7,-8 + 7,,,12,,,typing
22,"Rewrite using addition: -8 - (-6)",-8+6,-8 + 6,,,12,,,typing
23,"Rewrite using addition: -8 - (-5)",-8+5,-8 + 5,,,12,,,typing
24,"Rewrite using addition: -8 - (-4)",-8+4,-8 + 4,,,12,,,typing
25,"Rewrite using addition: -8 - (-3)",-8+3,-8 + 3,,,12,,,typing
26,"Rewrite using addition: -8 - (-2)",-8+2,-8 + 2,,,12,,,typing
27,"Rewrite using addition: -8 - (-1)",-8+1,-8 + 1,,,12,,,typing
28,"Rewrite using addition: -8 - 1",-8+-1,-8 + -1,-8+(-1),-8 + (-1),12,,,typing
29,"Rewrite using addition: -8 - 2",-8+-2,-8 + -2,-8+(-2),-8 + (-2),12,,,typing
30,"Rewrite using addition: -8 - 3",-8+-3,-8 + -3,-8+(-3),-8 + (-3),12,,,typing
31,"Rewrite using addition: -8 - 4",-8+-4,-8 + -4,-8+(-4),-8 + (-4),12,,,typing
32,"Rewrite using addition: -8 - 5",-8+-5,-8 + -5,-8+(-5),-8 + (-5),12,,,typing
33,"Rewrite using addition: -8 - 6",-8+-6,-8 + -6,-8+(-6),-8 + (-6),12,,,typing
34,"Rewrite using addition: -8 - 7",-8+-7,-8 + -7,-8+(-7),-8 + (-7),12,,,typing
35,"Rewrite using addition: -8 - 8",-8+-8,-8 + -8,-8+(-8),-8 + (-8),12,,,typing
36,"Rewrite using addition: -8 - 9",-8+-9,-8 + -9,-8+(-9),-8 + (-9),12,,,typing
37,"Rewrite using addition: -7 - (-9)",-7+9,-7 + 9,,,12,,,typing
38,"Rewrite using addition: -7 - (-8)",-7+8,-7 + 8,,,12,,,typing
39,"Rewrite using addition: -7 - (-7)",-7+7,-7 + 7,,,12,,,typing
40,"Rewrite using addition: -7 - (-6)",-7+6,-7 + 6,,,12,,,typing
41,"Rewrite using addition: -7 - (-5)",-7+5,-7 + 5,,,12,,,typing
42,"Rewrite using addition: -7 - (-4)",-7+4,-7 + 4,,,12,,,typing
43,"Rewrite using addition: -7 - (-3)",-7+3,-7 + 3,,,12,,,typing
44,"Rewrite using addition: -7 - (-2)",-7+2,-7 + 2,,,12,,,typing
45,"Rewrite using addition: -7 - (-1)",-7+1,-7 + 1,,,12,,,typing
46,"Rewrite using addition: -7 - 1",-7+-1,-7 + -1,-7+(-1),-7 + (-1),12,,,typing
47,"Rewrite using addition: -7 - 2",-7+-2,-7 + -2,-7+(-2),-7 + (-2),12,,,typing
48,"Rewrite using addition: -7 - 3",-7+-3,-7 + -3,-7+(-3),-7 + (-3),12,,,typing
49,"Rewrite using addition: -7 - 4",-7+-4,-7 + -4,-7+(-4),-7 + (-4),12,,,typing
50,"Rewrite using addition: -7 - 5",-7+-5,-7 + -5,-7+(-5),-7 + (-5),12,,,typing
51,"Rewrite using addition: -7 - 6",-7+-6,-7 + -6,-7+(-6),-7 + (-6),12,,,typing
