"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Which sentence shows parallelism in the list?","The service offers flexibility, efficiency, and offers quality.","They prepared to celebrate, to recognize achievements, and to inspire future success.","The library offers books, magazines, and keeps track of all visitors.","The dog barked loudly, running quickly, and jumps playfully.",30,2,,
2,"Which sentence shows parallelism in the list?","The research should include data collection, you analyze the data, and interpreting results.","Her goals include saving money, improving health, and to enjoy life.","We should strive for excellence, integrity, and innovation in our work.","He is talented at singing, dance, and acting.",30,3,,
3,"Which sentence shows parallelism in the list?","They plan to renovate their home, landscape the garden, and to decorate the interior.","He needs to organize his schedule, managing his time, and priorities.","Our company values honesty, integrity, and teamwork.","I enjoy visiting new places, trying new foods, and to meet new people.",30,3,,
4,"Which sentence shows parallelism in the list?","She was determined to win the race, to secure a medal, and achieving her personal best.","We should strive for integrity, excellence in our efforts, and innovate the future.","The campaign will focus on awareness, education, and on advocating.","The workshop will cover topics in marketing, finance, and operations.",30,4,,
5,"Which sentence shows parallelism in the list?","The seminar will cover leadership, teamwork, and we work on communication skills.","I want to write a novel, publish a book, and to inspire others.","My favorite outdoor activities are camping, hiking, and kayaking.","Her interests include learning music, art appreciation, and reading literature.",30,3,,
6,"Which sentence shows parallelism in the list?","My favorite fruits are strawberries, eating blueberries, and raspberry.","We traveled to Spain, visited France, and explored Italy.","The project requires creativity, collaboration, and being persistent.","The team needs to improve defense, enhance offense, and stamina.",30,2,,
7,"Which sentence shows parallelism in the list?","The athlete trains rigorously, maintains discipline, and developing strategies.","The service offers flexibility, efficiency, and quality.","The coach emphasized team strategy, teamwork, and to practice.","He supports charitable organizations that promote health, spreading education, and give philanthropic welfare.",30,2,,
8,"Which sentence shows parallelism in the list?","He supports charitable organizations that promote health, spreading education, and give philanthropic welfare.","He enjoys watching sports, playing video games, and reading comic books.","He enjoys sports, playing video games, and to read comics.","The museum showcases art, history, and also has science exhibits.",30,2,,
9,"Which sentence shows parallelism in the list?","I prefer tea, to drink coffee, or hot chocolate.","Her responsibilities involve teaching youths, to mentor recruits, and giving counsel to coworkers.","Her favorite activities include painting, traveling, and cooking.","The festival features games, contests, and acrobats will fly.",30,3,,
10,"Which sentence shows parallelism in the list?","The team needs to improve their defense, enhance their offense, and increase their stamina.","The chef specializes in Italian, French, and to cook Thai cuisine.","She likes swimming, to bike, and running.","The recipe requires tomatoes, onions, and needs garlic.",30,1,,
