"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Simplify the fraction 25/15.",1/2,5/8,5/3,3/4,12,3,,
2,"Simplify the fraction 16/40.",6/5,3/4,4/7,2/5,12,4,,
3,"Simplify the fraction 24/21.",2/3,1/4,5/9,8/7,12,4,,
4,"Simplify the fraction 15/40.",2/5,8/3,5/8,3/8,12,4,,
5,"Simplify the fraction 36/27.",1/6,4/3,5/7,9/8,12,2,,
6,"Simplify the fraction 6/21.",5/3,2/9,2/7,9/4,12,3,,
7,"Simplify the fraction 18/24.",3/4,7/9,4/3,3/8,12,1,,
8,"Simplify the fraction 3/6.",1/2,1/6,5/8,1/8,12,1,,
9,"Simplify the fraction 9/15.",7/2,9/7,3/5,3/8,12,3,,
10,"Simplify the fraction 28/24.",6/5,1/4,7/6,5/4,12,3,,
11,"Simplify the fraction 45/10.",3/4,1/3,9/2,5/2,12,3,,
12,"Simplify the fraction 28/8.",1/6,8/3,9/7,7/2,12,4,,
13,"Simplify the fraction 4/20.",7/3,5/7,9/8,1/5,12,4,,
14,"Simplify the fraction 8/32.",1/4,7/4,9/8,1/9,12,1,,
15,"Simplify the fraction 21/24.",7/8,1/4,5/4,3/5,12,1,,
16,"Simplify the fraction 63/45.",7/5,1/9,3/5,2/7,12,1,,
17,"Simplify the fraction 8/20.",9/7,4/7,2/5,8/5,12,3,,
18,"Simplify the fraction 15/21.",4/9,5/7,1/5,3/5,12,2,,
19,"Simplify the fraction 28/12.",3/8,7/3,3/7,7/5,12,2,,
20,"Simplify the fraction 63/56.",9/8,1/2,2/3,1/4,12,1,,
21,"Simplify the fraction 4/8.",3/8,1/2,5/9,7/4,12,2,,
22,"Simplify the fraction 21/18.",7/9,7/8,1/4,7/6,12,4,,
23,"Simplify the fraction 15/6.",1/8,7/3,5/2,5/6,12,3,,
24,"Simplify the fraction 20/8.",5/2,8/3,9/5,7/9,12,1,,
25,"Simplify the fraction 45/27.",5/3,8/5,4/5,8/7,12,1,,
26,"Simplify the fraction 24/27.",3/4,1/5,8/9,2/3,12,3,,
27,"Simplify the fraction 18/12.",3/2,2/7,9/2,5/7,12,1,,
28,"Simplify the fraction 18/14.",7/3,9/7,5/4,1/3,12,2,,
