"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Evaluate the quotient  2.44 ÷ 100",0.0244,,,,12,,,typing
2,"Evaluate the product  912 × 10",9120,,,,12,,,typing
3,"Evaluate the quotient  576 ÷ 10",57.6,,,,12,,,typing
4,"Evaluate the product  0.01 × 17.5",0.175,,,,12,,,typing
5,"Evaluate the product  10 × 78.6",786,,,,12,,,typing
6,"Evaluate the quotient  4620 ÷ 10",462,,,,12,,,typing
7,"Evaluate the quotient  274 ÷ 100",2.74,,,,12,,,typing
8,"Evaluate the quotient  0.0586 ÷ 100",0.000586,,,,12,,,typing
9,"Evaluate the product  2980 × 0.1",298,,,,12,,,typing
10,"Evaluate the product  0.0728 × 100",7.28,,,,12,,,typing
11,"Evaluate the product  360 × 10",3600,,,,12,,,typing
12,"Evaluate the quotient  0.0438 ÷ 10",0.00438,,,,12,,,typing
13,"Evaluate the quotient  588 ÷ 10",58.8,,,,12,,,typing
14,"Evaluate the product  2120 × 10",21200,,,,12,,,typing
15,"Evaluate the quotient  1.38 ÷ 10",0.138,,,,12,,,typing
16,"Evaluate the product  0.831 × 10",8.31,,,,12,,,typing
17,"Evaluate the product  2940 × 100",294000,,,,12,,,typing
18,"Evaluate the product  10 × 0.018",0.18,,,,12,,,typing
19,"Evaluate the product  0.1 × 5.94",0.594,,,,12,,,typing
20,"Evaluate the quotient  47.2 ÷ 100",0.472,,,,12,,,typing
21,"Evaluate the quotient  8.95 ÷ 100",0.0895,,,,12,,,typing
22,"Evaluate the product  7220 × 0.1",722,,,,12,,,typing
23,"Evaluate the product  164 × 0.1",16.4,,,,12,,,typing
24,"Evaluate the product  143 × 0.01",1.43,,,,12,,,typing
25,"Evaluate the quotient  4650 ÷ 10",465,,,,12,,,typing
26,"Evaluate the product  7.14 × 10",71.4,,,,12,,,typing
27,"Evaluate the quotient  840 ÷ 100",8.4,,,,12,,,typing
28,"Evaluate the quotient  9.17 ÷ 10",0.917,,,,12,,,typing
29,"Evaluate the product  10 × 0.978",9.78,,,,12,,,typing
30,"Evaluate the product  100 × 591",59100,,,,12,,,typing
31,"Evaluate the quotient  1110 ÷ 100",11.1,,,,12,,,typing
32,"Evaluate the product  100 × 266",26600,,,,12,,,typing
33,"Evaluate the product  100 × 9.13",913,,,,12,,,typing
34,"Evaluate the product  597 × 0.01",5.97,,,,12,,,typing
35,"Evaluate the quotient  5.41 ÷ 100",0.0541,,,,12,,,typing
36,"Evaluate the quotient  2510 ÷ 10",251,,,,12,,,typing
37,"Evaluate the quotient  0.0101 ÷ 100",0.000101,,,,12,,,typing
38,"Evaluate the product  9340 × 0.1",934,,,,12,,,typing
39,"Evaluate the product  5750 × 0.01",57.5,,,,12,,,typing
40,"Evaluate the quotient  0.0248 ÷ 10",0.00248,,,,12,,,typing
41,"Evaluate the quotient  0.165 ÷ 100",0.00165,,,,12,,,typing
42,"Evaluate the quotient  4560 ÷ 10",456,,,,12,,,typing
43,"Evaluate the product  0.0682 × 100",6.82,,,,12,,,typing
44,"Evaluate the quotient  6.17 ÷ 100",0.0617,,,,12,,,typing
45,"Evaluate the product  50.8 × 10",508,,,,12,,,typing
46,"Evaluate the product  0.1 × 89.3",8.93,,,,12,,,typing
47,"Evaluate the product  224 × 100",22400,,,,12,,,typing
48,"Evaluate the product  0.1 × 3.84",0.384,,,,12,,,typing
49,"Evaluate the product  0.0759 × 10",0.759,,,,12,,,typing
50,"Evaluate the product  27.2 × 0.1",2.72,,,,12,,,typing
51,"Evaluate the quotient  6.1 ÷ 10",0.61,,,,12,,,typing
52,"Evaluate the product  52.4 × 10",524,,,,12,,,typing
53,"Evaluate the product  0.1 × 527",52.7,,,,12,,,typing
54,"Evaluate the quotient  0.93 ÷ 100",0.0093,,,,12,,,typing
55,"Evaluate the quotient  0.0783 ÷ 10",0.00783,,,,12,,,typing
56,"Evaluate the product  100 × 2.98",298,,,,12,,,typing
57,"Evaluate the product  10 × 205",2050,,,,12,,,typing
58,"Evaluate the quotient  98.4 ÷ 100",0.984,,,,12,,,typing
59,"Evaluate the product  100 × 0.857",85.7,,,,12,,,typing
60,"Evaluate the quotient  27.9 ÷ 100",0.279,,,,12,,,typing
61,"Evaluate the product  0.01 × 85.3",0.853,,,,12,,,typing
62,"Evaluate the product  10 × 755",7550,,,,12,,,typing
63,"Evaluate the quotient  0.175 ÷ 100",0.00175,,,,12,,,typing
64,"Evaluate the product  0.01 × 752",7.52,,,,12,,,typing
65,"Evaluate the quotient  8320 ÷ 100",83.2,,,,12,,,typing
66,"Evaluate the product  81.4 × 100",8140,,,,12,,,typing
67,"Evaluate the quotient  5310 ÷ 100",53.1,,,,12,,,typing
68,"Evaluate the product  450 × 0.1",45,,,,12,,,typing
69,"Evaluate the product  0.801 × 0.01",0.00801,,,,12,,,typing
70,"Evaluate the product  10 × 950",9500,,,,12,,,typing
71,"Evaluate the quotient  0.173 ÷ 10",0.0173,,,,12,,,typing
