"Blooket Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3 (Optional)","Answer 4 (Optional)","Time Limit (sec) (Max: 300 seconds)","Correct Answer(s) (Only include Answer #)",,
1,"In a bag of marbles, 60% are green. You know there are 45 green marbles. How many total marbles are in the bag?",75,,,,60,,,typing
2,"In a bag of marbles, 60% are blue. You know there are 39 blue marbles. How many total marbles are in the bag?",65,,,,60,,,typing
3,"In a bag of marbles, 10% are yellow. You know there are 3 yellow marbles. How many total marbles are in the bag?",30,,,,60,,,typing
4,"In a bag of marbles, 20% are white. You know there are 4 white marbles. How many total marbles are in the bag?",20,,,,60,,,typing
5,"In a bag of marbles, 70% are red. You know there are 49 red marbles. How many total marbles are in the bag?",70,,,,60,,,typing
6,"In a bag of marbles, 40% are blue. You know there are 30 blue marbles. How many total marbles are in the bag?",75,,,,60,,,typing
7,"In a bag of marbles, 25% are violet. You know there are 13 violet marbles. How many total marbles are in the bag?",52,,,,60,,,typing
8,"In a bag of marbles, 50% are red. You know there are 28 red marbles. How many total marbles are in the bag?",56,,,,60,,,typing
9,"In a bag of marbles, 20% are yellow. You know there are 14 yellow marbles. How many total marbles are in the bag?",70,,,,60,,,typing
10,"In a bag of marbles, 75% are orange. You know there are 21 orange marbles. How many total marbles are in the bag?",28,,,,60,,,typing
11,"In a bag of marbles, 70% are white. You know there are 49 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
12,"In a bag of marbles, 25% are black. You know there are 15 black marbles. How many total marbles are in the bag?",60,,,,60,,,typing
13,"In a bag of marbles, 10% are white. You know there are 7 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
14,"In a bag of marbles, 20% are black. You know there are 18 black marbles. How many total marbles are in the bag?",90,,,,60,,,typing
15,"In a bag of marbles, 75% are green. You know there are 66 green marbles. How many total marbles are in the bag?",88,,,,60,,,typing
16,"In a bag of marbles, 70% are red. You know there are 35 red marbles. How many total marbles are in the bag?",50,,,,60,,,typing
17,"In a bag of marbles, 75% are red. You know there are 21 red marbles. How many total marbles are in the bag?",28,,,,60,,,typing
18,"In a bag of marbles, 70% are green. You know there are 14 green marbles. How many total marbles are in the bag?",20,,,,60,,,typing
19,"In a bag of marbles, 10% are blue. You know there are 2 blue marbles. How many total marbles are in the bag?",20,,,,60,,,typing
20,"In a bag of marbles, 25% are white. You know there are 13 white marbles. How many total marbles are in the bag?",52,,,,60,,,typing
21,"In a bag of marbles, 75% are green. You know there are 48 green marbles. How many total marbles are in the bag?",64,,,,60,,,typing
22,"In a bag of marbles, 20% are white. You know there are 10 white marbles. How many total marbles are in the bag?",50,,,,60,,,typing
23,"In a bag of marbles, 40% are violet. You know there are 30 violet marbles. How many total marbles are in the bag?",75,,,,60,,,typing
24,"In a bag of marbles, 75% are yellow. You know there are 45 yellow marbles. How many total marbles are in the bag?",60,,,,60,,,typing
25,"In a bag of marbles, 30% are black. You know there are 9 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
26,"In a bag of marbles, 40% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",45,,,,60,,,typing
27,"In a bag of marbles, 50% are white. You know there are 43 white marbles. How many total marbles are in the bag?",86,,,,60,,,typing
28,"In a bag of marbles, 60% are blue. You know there are 42 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
29,"In a bag of marbles, 40% are black. You know there are 28 black marbles. How many total marbles are in the bag?",70,,,,60,,,typing
30,"In a bag of marbles, 40% are orange. You know there are 38 orange marbles. How many total marbles are in the bag?",95,,,,60,,,typing
31,"In a bag of marbles, 30% are blue. You know there are 24 blue marbles. How many total marbles are in the bag?",80,,,,60,,,typing
32,"In a bag of marbles, 20% are orange. You know there are 5 orange marbles. How many total marbles are in the bag?",25,,,,60,,,typing
33,"In a bag of marbles, 70% are red. You know there are 42 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
34,"In a bag of marbles, 60% are white. You know there are 21 white marbles. How many total marbles are in the bag?",35,,,,60,,,typing
35,"In a bag of marbles, 30% are red. You know there are 27 red marbles. How many total marbles are in the bag?",90,,,,60,,,typing
36,"In a bag of marbles, 40% are red. You know there are 20 red marbles. How many total marbles are in the bag?",50,,,,60,,,typing
37,"In a bag of marbles, 50% are blue. You know there are 39 blue marbles. How many total marbles are in the bag?",78,,,,60,,,typing
38,"In a bag of marbles, 25% are green. You know there are 10 green marbles. How many total marbles are in the bag?",40,,,,60,,,typing
39,"In a bag of marbles, 70% are violet. You know there are 28 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
40,"In a bag of marbles, 50% are orange. You know there are 46 orange marbles. How many total marbles are in the bag?",92,,,,60,,,typing
41,"In a bag of marbles, 50% are black. You know there are 27 black marbles. How many total marbles are in the bag?",54,,,,60,,,typing
42,"In a bag of marbles, 25% are violet. You know there are 12 violet marbles. How many total marbles are in the bag?",48,,,,60,,,typing
43,"In a bag of marbles, 75% are red. You know there are 21 red marbles. How many total marbles are in the bag?",28,,,,60,,,typing
44,"In a bag of marbles, 40% are red. You know there are 20 red marbles. How many total marbles are in the bag?",50,,,,60,,,typing
45,"In a bag of marbles, 60% are violet. You know there are 24 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
46,"In a bag of marbles, 30% are green. You know there are 6 green marbles. How many total marbles are in the bag?",20,,,,60,,,typing
47,"In a bag of marbles, 20% are black. You know there are 5 black marbles. How many total marbles are in the bag?",25,,,,60,,,typing
48,"In a bag of marbles, 75% are white. You know there are 51 white marbles. How many total marbles are in the bag?",68,,,,60,,,typing
49,"In a bag of marbles, 10% are orange. You know there are 9 orange marbles. How many total marbles are in the bag?",90,,,,60,,,typing
50,"In a bag of marbles, 20% are orange. You know there are 6 orange marbles. How many total marbles are in the bag?",30,,,,60,,,typing
51,"In a bag of marbles, 30% are yellow. You know there are 6 yellow marbles. How many total marbles are in the bag?",20,,,,60,,,typing
52,"In a bag of marbles, 75% are violet. You know there are 57 violet marbles. How many total marbles are in the bag?",76,,,,60,,,typing
53,"In a bag of marbles, 50% are blue. You know there are 40 blue marbles. How many total marbles are in the bag?",80,,,,60,,,typing
54,"In a bag of marbles, 25% are blue. You know there are 23 blue marbles. How many total marbles are in the bag?",92,,,,60,,,typing
55,"In a bag of marbles, 20% are black. You know there are 6 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
56,"In a bag of marbles, 75% are green. You know there are 60 green marbles. How many total marbles are in the bag?",80,,,,60,,,typing
57,"In a bag of marbles, 70% are violet. You know there are 56 violet marbles. How many total marbles are in the bag?",80,,,,60,,,typing
58,"In a bag of marbles, 20% are orange. You know there are 4 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
59,"In a bag of marbles, 40% are black. You know there are 18 black marbles. How many total marbles are in the bag?",45,,,,60,,,typing
60,"In a bag of marbles, 60% are black. You know there are 18 black marbles. How many total marbles are in the bag?",30,,,,60,,,typing
61,"In a bag of marbles, 40% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",45,,,,60,,,typing
62,"In a bag of marbles, 20% are blue. You know there are 14 blue marbles. How many total marbles are in the bag?",70,,,,60,,,typing
63,"In a bag of marbles, 40% are yellow. You know there are 24 yellow marbles. How many total marbles are in the bag?",60,,,,60,,,typing
64,"In a bag of marbles, 20% are green. You know there are 12 green marbles. How many total marbles are in the bag?",60,,,,60,,,typing
65,"In a bag of marbles, 30% are violet. You know there are 12 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
66,"In a bag of marbles, 40% are red. You know there are 24 red marbles. How many total marbles are in the bag?",60,,,,60,,,typing
67,"In a bag of marbles, 60% are white. You know there are 42 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
68,"In a bag of marbles, 60% are green. You know there are 18 green marbles. How many total marbles are in the bag?",30,,,,60,,,typing
69,"In a bag of marbles, 70% are white. You know there are 35 white marbles. How many total marbles are in the bag?",50,,,,60,,,typing
70,"In a bag of marbles, 75% are red. You know there are 30 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
71,"In a bag of marbles, 70% are violet. You know there are 49 violet marbles. How many total marbles are in the bag?",70,,,,60,,,typing
72,"In a bag of marbles, 30% are orange. You know there are 24 orange marbles. How many total marbles are in the bag?",80,,,,60,,,typing
73,"In a bag of marbles, 60% are white. You know there are 57 white marbles. How many total marbles are in the bag?",95,,,,60,,,typing
74,"In a bag of marbles, 60% are white. You know there are 57 white marbles. How many total marbles are in the bag?",95,,,,60,,,typing
75,"In a bag of marbles, 70% are red. You know there are 56 red marbles. How many total marbles are in the bag?",80,,,,60,,,typing
76,"In a bag of marbles, 20% are red. You know there are 8 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
77,"In a bag of marbles, 10% are orange. You know there are 8 orange marbles. How many total marbles are in the bag?",80,,,,60,,,typing
78,"In a bag of marbles, 50% are blue. You know there are 46 blue marbles. How many total marbles are in the bag?",92,,,,60,,,typing
79,"In a bag of marbles, 60% are black. You know there are 36 black marbles. How many total marbles are in the bag?",60,,,,60,,,typing
80,"In a bag of marbles, 40% are green. You know there are 22 green marbles. How many total marbles are in the bag?",55,,,,60,,,typing
81,"In a bag of marbles, 30% are white. You know there are 9 white marbles. How many total marbles are in the bag?",30,,,,60,,,typing
82,"In a bag of marbles, 50% are violet. You know there are 41 violet marbles. How many total marbles are in the bag?",82,,,,60,,,typing
83,"In a bag of marbles, 20% are white. You know there are 5 white marbles. How many total marbles are in the bag?",25,,,,60,,,typing
84,"In a bag of marbles, 30% are violet. You know there are 18 violet marbles. How many total marbles are in the bag?",60,,,,60,,,typing
85,"In a bag of marbles, 10% are violet. You know there are 4 violet marbles. How many total marbles are in the bag?",40,,,,60,,,typing
86,"In a bag of marbles, 40% are yellow. You know there are 22 yellow marbles. How many total marbles are in the bag?",55,,,,60,,,typing
87,"In a bag of marbles, 40% are white. You know there are 24 white marbles. How many total marbles are in the bag?",60,,,,60,,,typing
88,"In a bag of marbles, 40% are orange. You know there are 28 orange marbles. How many total marbles are in the bag?",70,,,,60,,,typing
89,"In a bag of marbles, 40% are black. You know there are 38 black marbles. How many total marbles are in the bag?",95,,,,60,,,typing
90,"In a bag of marbles, 50% are green. You know there are 17 green marbles. How many total marbles are in the bag?",34,,,,60,,,typing
91,"In a bag of marbles, 75% are blue. You know there are 30 blue marbles. How many total marbles are in the bag?",40,,,,60,,,typing
92,"In a bag of marbles, 60% are white. You know there are 42 white marbles. How many total marbles are in the bag?",70,,,,60,,,typing
93,"In a bag of marbles, 10% are white. You know there are 3 white marbles. How many total marbles are in the bag?",30,,,,60,,,typing
94,"In a bag of marbles, 60% are white. You know there are 21 white marbles. How many total marbles are in the bag?",35,,,,60,,,typing
95,"In a bag of marbles, 75% are orange. You know there are 15 orange marbles. How many total marbles are in the bag?",20,,,,60,,,typing
96,"In a bag of marbles, 25% are violet. You know there are 19 violet marbles. How many total marbles are in the bag?",76,,,,60,,,typing
97,"In a bag of marbles, 20% are red. You know there are 11 red marbles. How many total marbles are in the bag?",55,,,,60,,,typing
98,"In a bag of marbles, 75% are orange. You know there are 51 orange marbles. How many total marbles are in the bag?",68,,,,60,,,typing
99,"In a bag of marbles, 50% are violet. You know there are 36 violet marbles. How many total marbles are in the bag?",72,,,,60,,,typing
100,"In a bag of marbles, 60% are green. You know there are 33 green marbles. How many total marbles are in the bag?",55,,,,60,,,typing
101,"In a bag of marbles, 25% are black. You know there are 15 black marbles. How many total marbles are in the bag?",60,,,,60,,,typing
102,"In a bag of marbles, 60% are violet. You know there are 57 violet marbles. How many total marbles are in the bag?",95,,,,60,,,typing
103,"In a bag of marbles, 10% are white. You know there are 2 white marbles. How many total marbles are in the bag?",20,,,,60,,,typing
104,"In a bag of marbles, 30% are violet. You know there are 15 violet marbles. How many total marbles are in the bag?",50,,,,60,,,typing
105,"In a bag of marbles, 75% are yellow. You know there are 42 yellow marbles. How many total marbles are in the bag?",56,,,,60,,,typing
106,"In a bag of marbles, 30% are green. You know there are 15 green marbles. How many total marbles are in the bag?",50,,,,60,,,typing
107,"In a bag of marbles, 50% are black. You know there are 31 black marbles. How many total marbles are in the bag?",62,,,,60,,,typing
108,"In a bag of marbles, 30% are red. You know there are 24 red marbles. How many total marbles are in the bag?",80,,,,60,,,typing
109,"In a bag of marbles, 10% are red. You know there are 4 red marbles. How many total marbles are in the bag?",40,,,,60,,,typing
110,"In a bag of marbles, 70% are yellow. You know there are 49 yellow marbles. How many total marbles are in the bag?",70,,,,60,,,typing
111,"In a bag of marbles, 10% are green. You know there are 2 green marbles. How many total marbles are in the bag?",20,,,,60,,,typing
112,"In a bag of marbles, 30% are black. You know there are 12 black marbles. How many total marbles are in the bag?",40,,,,60,,,typing
113,"In a bag of marbles, 25% are orange. You know there are 9 orange marbles. How many total marbles are in the bag?",36,,,,60,,,typing
114,"In a bag of marbles, 30% are blue. You know there are 18 blue marbles. How many total marbles are in the bag?",60,,,,60,,,typing
