"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Expand (FOIL) the expression:

(x+2)(x-11)",x^2 - 7x - 22,x^2 + 9x + 22,x^2 - 8x - 22,x^2 - 9x - 22,60,4,,
2,"Expand (FOIL) the expression:

(x-9)(x+7)",x^2 - 3x - 63,x^2 + 16x - 63,x^2 - 2x - 63,x^2 - 63x + 2,60,3,,
3,"Expand (FOIL) the expression:

(x-4)(x+8)",x^2 + 5x - 32,x^2 - 32x + 4,x^2 + 6x - 32,x^2 + 4x - 32,60,4,,
4,"Expand (FOIL) the expression:

(x+12)(x-11)",x^2 + 2x - 132,x^2 + x - 132,x^2 + 132x - 1,x^2 + x + 132,60,2,,
5,"Expand (FOIL) the expression:

(x+11)(x+3)",x^2 + 14x + 33,x^2 - 33x + 14,x^2 + 14x + 36,x^2 - 14x + 33,60,1,,
6,"Expand (FOIL) the expression:

(x+6)(x+7)",x^2 + 11x + 42,x^2 - 13x + 42,x^2 + 13x + 42,x^2 + 13x + 35,60,3,,
7,"Expand (FOIL) the expression:

(x-5)(x+5)",x^2 + x - 25,x^2 - 25,x^2 - 10x + 25,x^2 + 10x - 25,60,2,,
8,"Expand (FOIL) the expression:

(x-7)(x+2)",x^2 - 7x - 14,x^2 + 9x + 14,x^2 + 14x - 5,x^2 - 5x - 14,60,4,,
9,"Expand (FOIL) the expression:

(x-1)(x+11)",x^2 - 11x + 10,x^2 + 8x - 11,x^2 + 10x - 11,x^2 + 10x - 22,60,3,,
10,"Expand (FOIL) the expression:

(x-8)(x-7)",x^2 + 15x - 56,x^2 - 15x + 56,x^2 + x + 56,x^2 - 56x - 15,60,2,,
11,"Expand (FOIL) the expression:

(x-7)(x-2)",x^2 - 9x + 14,x^2 + 5x - 14,x^2 + 9x - 14,x^2 + 14x - 9,60,1,,
12,"Expand (FOIL) the expression:

(x-8)(x-4)",x^2 - 13x + 32,x^2 - 12x + 40,x^2 - 12x + 32,x^2 - 12x + 36,60,3,,
13,"Expand (FOIL) the expression:

(x+10)(x+10)",x^2 - 100,x^2 + 20x + 110,x^2 + 20x + 100,x^2 - 20x + 100,60,3,,
14,"Expand (FOIL) the expression:

(x+1)(x-5)",x^2 + 5x - 4,x^2 - 4x,x^2 - 4x - 5,x^2 - 5,60,3,,
15,"Expand (FOIL) the expression:

(x-4)(x-8)",x^2 - 12x + 24,x^2 - 4x - 32,x^2 - 13x + 32,x^2 - 12x + 32,60,4,,
16,"Expand (FOIL) the expression:

(x-10)(x+1)",x^2 - 10x - 10,x^2 - 9x - 10,x^2 + 10x - 9,x^2 - 7x - 10,60,2,,
17,"Expand (FOIL) the expression:

(x+9)(x-6)",x^2 + 3x + 54,x^2 + 15x + 54,x^2 + 3x - 54,x^2 - 54x - 3,60,3,,
18,"Expand (FOIL) the expression:

(x-3)(x-6)",x^2 - 3x - 18,x^2 - 9x - 18,x^2 - 10x + 18,x^2 - 9x + 18,60,4,,
19,"Expand (FOIL) the expression:

(x+10)(x+10)",x^2 + 22x + 100,x^2 + 100x - 20,x^2 - 100x + 20,x^2 + 20x + 100,60,4,,
20,"Expand (FOIL) the expression:

(x-10)(x-5)",x^2 - 15x + 50,x^2 + 50,x^2 + 5x + 50,x^2 + 50x + 15,60,1,,
21,"Expand (FOIL) the expression:

(x+3)(x-1)",x^2 + 2x,x^2 - 4x + 3,x^2 - 3,x^2 + 2x - 3,60,4,,
22,"Expand (FOIL) the expression:

(x+3)(x+4)",x^2 + 7x + 12,x^2 - x + 12,x^2 - 12,x^2 + x + 12,60,1,,
23,"Expand (FOIL) the expression:

(x-11)(x-9)",x^2 - 20x + 99,x^2 + 20x + 99,x^2 - 99x - 20,x^2 - 19x + 99,60,1,,
24,"Expand (FOIL) the expression:

(x-5)(x+7)",x^2 + 12x + 35,x^2 + 2x - 28,x^2 + 2x - 35,x^2 + 2x - 30,60,3,,
25,"Expand (FOIL) the expression:

(x-2)(x-3)",x^2 - 5x + 6,x^2 + x + 6,x^2 - 7x + 6,x^2 + 5x - 6,60,1,,
26,"Expand (FOIL) the expression:

(x+5)(x-1)",x^2 + 4x - 5,x^2 + 6x + 5,x^2 - 4x - 5,x^2 + 5,60,1,,
27,"Expand (FOIL) the expression:

(x-10)(x+12)",x^2 - 120x + 2,x^2 + 2x - 120,x^2 + 120x - 2,x^2 + 2x - 130,60,2,,
28,"Expand (FOIL) the expression:

(x+3)(x+12)",x^2 + 36x - 15,x^2 + 14x + 36,x^2 + 15x + 36,x^2 + 15x + 48,60,3,,
29,"Expand (FOIL) the expression:

(x-2)(x-8)",x^2 - 16x + 10,x^2 - 10x + 16,x^2 + 6x - 16,x^2 - 16x - 10,60,2,,
30,"Expand (FOIL) the expression:

(x+9)(x+8)",x^2 + x + 72,x^2 + 16x + 72,x^2 + 17x + 72,x^2 + 17x + 80,60,3,,
31,"Expand (FOIL) the expression:

(x+6)(x+12)",x^2 + 18x + 72,x^2 + 16x + 72,x^2 + 19x + 72,x^2 - 72x - 18,60,1,,
32,"Expand (FOIL) the expression:

(x-11)(x+3)",x^2 - 8x - 33,x^2 + 33x - 8,x^2 - 9x - 33,x^2 - 33x + 8,60,1,,
33,"Expand (FOIL) the expression:

(x-1)(x-10)",x^2 + 9x - 10,x^2 - 10x + 10,x^2 - 11x + 10,x^2 + 9x + 10,60,3,,
34,"Expand (FOIL) the expression:

(x-8)(x+2)",x^2 - 10x + 16,x^2 - 6x - 16,x^2 - 16x - 6,x^2 - 6x + 16,60,2,,
35,"Expand (FOIL) the expression:

(x+8)(x-9)",x^2 - 3x - 72,x^2 - x - 72,x^2 - 2x - 72,x^2 - 72x - 1,60,2,,
36,"Expand (FOIL) the expression:

(x+6)(x-3)",x^2 + 3x - 15,x^2 - 18x + 3,x^2 - 9x + 18,x^2 + 3x - 18,60,4,,
37,"Expand (FOIL) the expression:

(x+1)(x+11)",x^2 + 12x + 10,x^2 + 10x - 11,x^2 + 12x + 11,x^2 + 12x + 22,60,3,,
38,"Expand (FOIL) the expression:

(x-8)(x-11)",x^2 - 20x + 88,x^2 - 18x + 88,x^2 - 19x + 99,x^2 - 19x + 88,60,4,,
39,"Expand (FOIL) the expression:

(x-2)(x+4)",x^2 + 2x - 8,x^2 + x - 8,x^2 - 6x - 8,x^2 + 2x - 6,60,1,,
40,"Expand (FOIL) the expression:

(x-4)(x-5)",x^2 + x - 20,x^2 - 20,x^2 - 9x + 20,x^2 - 9x + 24,60,3,,
41,"Expand (FOIL) the expression:

(x+3)(x-4)",x^2 - x + 12,x^2 + x - 12,x^2 - x - 12,x^2 + 7x + 12,60,3,,
42,"Expand (FOIL) the expression:

(x+7)(x+8)",x^2 + 15x + 56,x^2 - 15x + 56,x^2 + 13x + 56,x^2 + 56,60,1,,
43,"Expand (FOIL) the expression:

(x-4)(x+10)",x^2 + 14x - 40,x^2 + 6x - 40,x^2 + 6x - 44,x^2 + 6x + 40,60,2,,
44,"Expand (FOIL) the expression:

(x-12)(x-5)",x^2 + 7x - 60,x^2 - 7x + 60,x^2 + 60x - 17,x^2 - 17x + 60,60,4,,
45,"Expand (FOIL) the expression:

(x+2)(x-9)",x^2 - 11x - 18,x^2 + 7x - 18,x^2 - 7x - 18,x^2 - 9x - 18,60,3,,
46,"Expand (FOIL) the expression:

(x+8)(x-12)",x^2 - 4x - 84,x^2 + 96,x^2 - 4x - 96,x^2 + 20x + 96,60,3,,
47,"Expand (FOIL) the expression:

(x-9)(x+1)",x^2 + 9,x^2 - 8x - 9,x^2 - 9x + 8,x^2 - 8x - 8,60,2,,
48,"Expand (FOIL) the expression:

(x+10)(x-11)",x^2 - 21x - 110,x^2 - x - 100,x^2 - x - 110,x^2 + 110,60,3,,
