"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Convert 240° to radians.",0,7π/4,π/3,4π/3,60,4,,
2,"Convert 120° to radians.",4π/3,7π/4,π/3,2π/3,60,4,,
3,"Convert 120° to radians.",2π/3,5π/6,π,4π/3,60,1,,
4,"Convert 135° to radians.",2π/3,π/4,7π/6,3π/4,60,4,,
5,"Convert 300° to radians.",0,2π/3,5π/3,π/4,60,3,,
6,"Convert 240° to radians.",5π/6,4π/3,2π/3,3π/4,60,2,,
7,"Convert 150° to radians.",π,11π/6,5π/6,3π/4,60,3,,
8,"Convert 240° to radians.",4π/3,0,11π/6,3π/2,60,1,,
9,"Convert 180° to radians.",3π/4,π/4,11π/6,π,60,4,,
10,"Convert 225° to radians.",7π/6,5π/3,5π/4,11π/6,60,3,,
11,"Convert 30° to radians.",0,7π/6,π/6,5π/4,60,3,,
12,"Convert 210° to radians.",π/2,4π/3,11π/6,7π/6,60,4,,
13,"Convert 150° to radians.",π/4,7π/6,5π/6,0,60,3,,
14,"Convert 300° to radians.",4π/3,5π/3,11π/6,2π/3,60,2,,
15,"Convert 300° to radians.",π/4,2π/3,0,5π/3,60,4,,
16,"Convert 240° to radians.",0,2π,4π/3,π,60,3,,
17,"Convert 315° to radians.",7π/4,3π/4,π/3,5π/4,60,1,,
18,"Convert 60° to radians.",0,π/3,π/6,4π/3,60,2,,
19,"Convert 270° to radians.",π/6,3π/2,7π/6,7π/4,60,2,,
20,"Convert 45° to radians.",π/4,5π/3,2π,11π/6,60,1,,
21,"Convert 180° to radians.",7π/6,π/6,π,4π/3,60,3,,
22,"Convert 90° to radians.",2π,π/2,3π/4,π,60,2,,
23,"Convert 300° to radians.",π/3,2π/3,4π/3,5π/3,60,4,,
24,"Convert 45° to radians.",π/4,π,2π/3,5π/6,60,1,,
25,"Convert 240° to radians.",5π/6,4π/3,π/2,7π/4,60,2,,
26,"Convert 0° to radians.",π/2,7π/6,0,π/3,60,3,,
27,"Convert 120° to radians.",2π/3,π/6,5π/3,7π/4,60,1,,
28,"Convert 300° to radians.",5π/3,5π/6,π/3,7π/6,60,1,,
29,"Convert 135° to radians.",π/3,3π/4,11π/6,0,60,2,,
30,"Convert 180° to radians.",7π/4,2π/3,2π,π,60,4,,
31,"Convert 45° to radians.",π,π/4,7π/4,3π/2,60,2,,
32,"Convert 90° to radians.",3π/4,11π/6,4π/3,π/2,60,4,,
33,"Convert 210° to radians.",0,4π/3,7π/6,5π/6,60,3,,
34,"Convert 330° to radians.",4π/3,11π/6,7π/6,π/6,60,2,,
35,"Convert 60° to radians.",π/3,2π/3,π/2,11π/6,60,1,,
36,"Convert 300° to radians.",5π/3,π/6,7π/4,0,60,1,,
37,"Convert 135° to radians.",2π,3π/4,7π/4,5π/4,60,2,,
38,"Convert 90° to radians.",π/6,5π/4,π/2,3π/2,60,3,,
39,"Convert 120° to radians.",π,2π/3,5π/3,4π/3,60,2,,
40,"Convert 90° to radians.",π/2,5π/4,0,11π/6,60,1,,
41,"Convert 60° to radians.",π/3,0,5π/4,11π/6,60,1,,
42,"Convert 330° to radians.",3π/2,π/6,7π/4,11π/6,60,4,,
43,"Convert 135° to radians.",0,3π/4,11π/6,2π,60,2,,
44,"Convert 270° to radians.",π/2,3π/4,π/6,3π/2,60,4,,
45,"Convert 150° to radians.",5π/6,π/6,2π,π/3,60,1,,
46,"Convert 180° to radians.",π,5π/3,3π/2,7π/4,60,1,,
47,"Convert 150° to radians.",5π/6,11π/6,π/4,7π/4,60,1,,
48,"Convert 0° to radians.",11π/6,0,π/2,5π/6,60,2,,
49,"Convert 45° to radians.",π/4,3π/4,π,3π/2,60,1,,
50,"Convert 45° to radians.",π/4,2π/3,2π,π/3,60,1,,
51,"Convert 240° to radians.",π/6,4π/3,2π,7π/4,60,2,,
52,"Convert 360° to radians.",2π,3π/4,π/4,π/2,60,1,,
53,"Convert 315° to radians.",π/2,π/4,7π/4,4π/3,60,3,,
54,"Convert 270° to radians.",π/6,7π/6,7π/4,3π/2,60,4,,
55,"Convert 0° to radians.",0,5π/3,2π,3π/2,60,1,,
56,"Convert 30° to radians.",5π/6,π/6,11π/6,π,60,2,,
57,"Convert 300° to radians.",7π/6,π/3,π/2,5π/3,60,4,,
