"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Convert π/4 to degrees.",45°,0°,225°,270°,60,1,,
2,"Convert π/2 to degrees.",60°,360°,90°,300°,60,3,,
3,"Convert 0 to degrees.",240°,270°,0°,360°,60,3,,
4,"Convert π/2 to degrees.",300°,135°,90°,180°,60,3,,
5,"Convert π/2 to degrees.",135°,60°,30°,90°,60,4,,
6,"Convert 3π/4 to degrees.",315°,90°,210°,135°,60,4,,
7,"Convert π/3 to degrees.",330°,60°,0°,135°,60,2,,
8,"Convert 5π/6 to degrees.",150°,300°,0°,90°,60,1,,
9,"Convert 2π to degrees.",330°,120°,60°,360°,60,4,,
10,"Convert 7π/4 to degrees.",150°,210°,315°,240°,60,3,,
11,"Convert 0 to degrees.",60°,30°,135°,0°,60,4,,
12,"Convert π/2 to degrees.",60°,210°,90°,360°,60,3,,
13,"Convert 4π/3 to degrees.",315°,45°,240°,330°,60,3,,
14,"Convert 3π/2 to degrees.",0°,270°,180°,60°,60,2,,
15,"Convert π/6 to degrees.",30°,0°,90°,225°,60,1,,
16,"Convert 7π/4 to degrees.",300°,315°,45°,270°,60,2,,
17,"Convert 3π/2 to degrees.",315°,0°,240°,270°,60,4,,
18,"Convert 11π/6 to degrees.",240°,330°,225°,45°,60,2,,
19,"Convert 5π/4 to degrees.",60°,225°,30°,315°,60,2,,
20,"Convert 5π/6 to degrees.",135°,225°,360°,150°,60,4,,
21,"Convert 0 to degrees.",270°,90°,0°,30°,60,3,,
22,"Convert π/2 to degrees.",210°,150°,300°,90°,60,4,,
23,"Convert 7π/4 to degrees.",360°,270°,315°,120°,60,3,,
24,"Convert 11π/6 to degrees.",225°,0°,210°,330°,60,4,,
25,"Convert 0 to degrees.",180°,240°,0°,150°,60,3,,
26,"Convert 11π/6 to degrees.",135°,60°,330°,120°,60,3,,
27,"Convert 4π/3 to degrees.",300°,0°,315°,240°,60,4,,
28,"Convert 3π/2 to degrees.",45°,150°,60°,270°,60,4,,
29,"Convert 3π/4 to degrees.",270°,135°,360°,225°,60,2,,
30,"Convert 0 to degrees.",135°,0°,270°,120°,60,2,,
31,"Convert π/6 to degrees.",30°,360°,225°,270°,60,1,,
32,"Convert 7π/6 to degrees.",120°,0°,210°,330°,60,3,,
33,"Convert 4π/3 to degrees.",225°,180°,270°,240°,60,4,,
34,"Convert π/3 to degrees.",60°,90°,135°,315°,60,1,,
35,"Convert 7π/4 to degrees.",330°,120°,315°,180°,60,3,,
36,"Convert 4π/3 to degrees.",240°,315°,0°,270°,60,1,,
37,"Convert 3π/2 to degrees.",270°,360°,90°,225°,60,1,,
38,"Convert π/6 to degrees.",30°,210°,315°,150°,60,1,,
39,"Convert 11π/6 to degrees.",30°,240°,210°,330°,60,4,,
40,"Convert 0 to degrees.",150°,0°,225°,360°,60,2,,
41,"Convert 2π to degrees.",360°,45°,0°,120°,60,1,,
42,"Convert π/4 to degrees.",270°,45°,225°,180°,60,2,,
43,"Convert π/6 to degrees.",240°,210°,300°,30°,60,4,,
44,"Convert π/6 to degrees.",300°,135°,210°,30°,60,4,,
45,"Convert π to degrees.",60°,30°,315°,180°,60,4,,
46,"Convert π/4 to degrees.",90°,45°,0°,315°,60,2,,
47,"Convert π/6 to degrees.",120°,45°,30°,300°,60,3,,
48,"Convert π to degrees.",180°,135°,210°,225°,60,1,,
49,"Convert π/2 to degrees.",90°,45°,270°,300°,60,1,,
50,"Convert 3π/4 to degrees.",135°,180°,240°,360°,60,1,,
51,"Convert 7π/4 to degrees.",45°,315°,90°,30°,60,2,,
52,"Convert π/4 to degrees.",360°,300°,45°,90°,60,3,,
