"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Convert 11π/6 to degrees.",120°,0°,330°,150°,20,3,,
1,"Convert 315° to radians.",0,π/2,π,7π/4,20,4,,
2,"Convert 0 to degrees.",60°,225°,180°,0°,20,4,,
2,"Convert 270° to radians.",3π/2,π/4,5π/6,π/3,20,1,,
3,"Convert 5π/6 to degrees.",150°,180°,330°,60°,20,1,,
3,"Convert 330° to radians.",11π/6,5π/6,5π/4,7π/4,20,1,,
4,"Convert 3π/2 to degrees.",30°,270°,0°,60°,20,2,,
4,"Convert 0° to radians.",0,5π/4,11π/6,π/2,20,1,,
5,"Convert π to degrees.",270°,90°,330°,180°,20,4,,
5,"Convert 0° to radians.",7π/4,π,0,4π/3,20,3,,
6,"Convert 3π/2 to degrees.",315°,45°,135°,270°,20,4,,
6,"Convert 150° to radians.",3π/2,2π,0,5π/6,20,4,,
7,"Convert π/2 to degrees.",180°,360°,135°,90°,20,4,,
7,"Convert 60° to radians.",π/3,7π/4,7π/6,11π/6,20,1,,
8,"Convert 2π/3 to degrees.",180°,120°,210°,300°,20,2,,
8,"Convert 210° to radians.",5π/4,7π/6,π/3,11π/6,20,2,,
9,"Convert 5π/4 to degrees.",225°,120°,210°,240°,20,1,,
9,"Convert 270° to radians.",4π/3,3π/2,π/6,2π/3,20,2,,
10,"Convert 0 to degrees.",30°,180°,240°,0°,20,4,,
10,"Convert 225° to radians.",π/3,7π/6,5π/4,4π/3,20,3,,
11,"Convert π/3 to degrees.",330°,60°,135°,30°,20,2,,
11,"Convert 135° to radians.",5π/6,π/4,11π/6,3π/4,20,4,,
12,"Convert π/2 to degrees.",45°,270°,60°,90°,20,4,,
12,"Convert 30° to radians.",2π,5π/6,π/4,π/6,20,4,,
13,"Convert 11π/6 to degrees.",300°,90°,330°,315°,20,3,,
13,"Convert 120° to radians.",π/3,2π/3,3π/4,7π/4,20,2,,
14,"Convert 0 to degrees.",225°,45°,0°,315°,20,3,,
14,"Convert 90° to radians.",π/4,π/2,2π,π/3,20,2,,
15,"Convert 5π/4 to degrees.",150°,225°,90°,270°,20,2,,
