"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Convert 0.0202 to a percentage.",0.00202%,0.0202%,2.02%,202%,60,3,,
2,"Convert 1.51 to a percentage.",0.0151%,1.51%,15.1%,151%,60,4,,
3,"Convert 570% to a decimal fraction.",0.057,0.57,5.7,570,60,3,,
4,"Convert 59% to a decimal fraction.",0.0059,0.059,0.59,5.9,60,3,,
5,"Convert 2.88% to a decimal fraction.",0.00288,0.0288,0.288,288,60,2,,
6,"Convert 0.959 to a percentage.",0.00959%,9.59%,95.9%,959%,60,3,,
7,"Convert 0.716% to a decimal fraction.",0.00716,0.0716,7.16,71.6,60,1,,
8,"Convert 0.689% to a decimal fraction.",0.00689,6.89,68.9,689,60,1,,
9,"Convert 3.4% to a decimal fraction.",0.034,0.34,3.4,340,60,1,,
10,"Convert 0.00251 to a percentage.",0.00251%,0.0251%,0.251%,2.51%,60,3,,
11,"Convert 5% to a decimal fraction.",0.005,0.05,5,500,60,2,,
12,"Convert 1.55% to a decimal fraction.",0.00155,0.0155,0.155,15.5,60,2,,
13,"Convert 79.3% to a decimal fraction.",0.00793,0.0793,0.793,79.3,60,3,,
14,"Convert 0.0796 to a percentage.",0.00796%,0.796%,7.96%,796%,60,3,,
15,"Convert 0.00213 to a percentage.",0.00213%,0.213%,2.13%,21.3%,60,2,,
16,"Convert 0.662 to a percentage.",0.00662%,0.662%,6.62%,66.2%,60,4,,
17,"Convert 0.0528 to a percentage.",0.00528%,0.528%,5.28%,52.8%,60,3,,
18,"Convert 0.00596 to a percentage.",0.00596%,0.596%,59.6%,596%,60,2,,
19,"Convert 14.7% to a decimal fraction.",0.0147,0.147,14.7,147,60,2,,
20,"Convert 0.00316 to a percentage.",0.0316%,0.316%,3.16%,316%,60,2,,
21,"Convert 7.25% to a decimal fraction.",0.00725,0.0725,7.25,725,60,2,,
22,"Convert 50.8% to a decimal fraction.",0.0508,0.508,5.08,508,60,2,,
23,"Convert 0.306% to a decimal fraction.",0.00306,0.0306,3.06,306,60,1,,
24,"Convert 0.00172 to a percentage.",0.00172%,0.0172%,0.172%,1.72%,60,3,,
25,"Convert 0.00939 to a percentage.",0.00939%,0.0939%,0.939%,93.9%,60,3,,
26,"Convert 98.8% to a decimal fraction.",0.00988,0.988,9.88,988,60,2,,
27,"Convert 0.0823 to a percentage.",0.00823%,0.0823%,8.23%,82.3%,60,3,,
28,"Convert 629% to a decimal fraction.",0.00629,0.0629,6.29,62.9,60,3,,
29,"Convert 0.581% to a decimal fraction.",0.00581,0.581,5.81,581,60,1,,
30,"Convert 535% to a decimal fraction.",0.00535,0.0535,0.535,5.35,60,4,,
31,"Convert 0.00957 to a percentage.",0.00957%,0.957%,9.57%,95.7%,60,2,,
32,"Convert 0.0292 to a percentage.",0.0292%,2.92%,29.2%,292%,60,2,,
33,"Convert 0.00186 to a percentage.",0.0186%,0.186%,18.6%,186%,60,2,,
34,"Convert 0.0078 to a percentage.",0.078%,0.78%,7.8%,78%,60,2,,
35,"Convert 0.00905 to a percentage.",0.905%,9.05%,90.5%,905%,60,1,,
36,"Convert 0.0238 to a percentage.",0.00238%,0.238%,2.38%,23.8%,60,3,,
37,"Convert 0.139% to a decimal fraction.",0.00139,0.0139,0.139,139,60,1,,
38,"Convert 104% to a decimal fraction.",0.00104,0.0104,1.04,104,60,3,,
39,"Convert 57.6% to a decimal fraction.",0.00576,0.576,5.76,57.6,60,2,,
40,"Convert 92.2% to a decimal fraction.",0.922,9.22,92.2,922,60,1,,
41,"Convert 0.0795 to a percentage.",0.0795%,0.795%,7.95%,79.5%,60,3,,
42,"Convert 7.5 to a percentage.",0.075%,0.75%,7.5%,750%,60,4,,
43,"Convert 0.00137 to a percentage.",0.00137%,0.0137%,0.137%,137%,60,3,,
44,"Convert 0.0117 to a percentage.",0.00117%,0.117%,1.17%,11.7%,60,3,,
45,"Convert 0.504 to a percentage.",0.0504%,0.504%,5.04%,50.4%,60,4,,
46,"Convert 55.9% to a decimal fraction.",0.00559,0.0559,0.559,559,60,3,,
47,"Convert 0.00652 to a percentage.",0.652%,6.52%,65.2%,652%,60,1,,
48,"Convert 3.8% to a decimal fraction.",0.038,0.38,3.8,380,60,1,,
49,"Convert 616% to a decimal fraction.",0.00616,0.616,6.16,616,60,3,,
50,"Convert 8.28% to a decimal fraction.",0.00828,0.0828,0.828,8.28,60,2,,
51,"Convert 162% to a decimal fraction.",0.0162,0.162,1.62,162,60,3,,
52,"Convert 8.13 to a percentage.",0.00813%,0.0813%,0.813%,813%,60,4,,
53,"Convert 0.62 to a percentage.",0.062%,0.62%,62%,620%,60,3,,
54,"Convert 0.0186 to a percentage.",0.0186%,1.86%,18.6%,186%,60,2,,
55,"Convert 341% to a decimal fraction.",0.00341,0.0341,0.341,3.41,60,4,,
56,"Convert 0.978 to a percentage.",0.00978%,0.0978%,0.978%,97.8%,60,4,,
57,"Convert 0.00488 to a percentage.",0.00488%,0.488%,48.8%,488%,60,2,,
58,"Convert 0.581 to a percentage.",0.0581%,0.581%,58.1%,581%,60,3,,
59,"Convert 0.163% to a decimal fraction.",0.00163,0.0163,0.163,1.63,60,1,,
60,"Convert 73.9% to a decimal fraction.",0.00739,0.0739,0.739,73.9,60,3,,
61,"Convert 0.00202 to a percentage.",0.202%,2.02%,20.2%,202%,60,1,,
62,"Convert 0.0957 to a percentage.",0.00957%,0.0957%,9.57%,957%,60,3,,
63,"Convert 87% to a decimal fraction.",0.87,8.7,87,870,60,1,,
64,"Convert 6.78% to a decimal fraction.",0.0678,0.678,6.78,67.8,60,1,,
65,"Convert 0.157 to a percentage.",0.0157%,0.157%,1.57%,15.7%,60,4,,
66,"Convert 0.00236 to a percentage.",0.236%,2.36%,23.6%,236%,60,1,,
67,"Convert 0.0324 to a percentage.",0.00324%,3.24%,32.4%,324%,60,2,,
68,"Convert 96.6% to a decimal fraction.",0.966,9.66,96.6,966,60,1,,
69,"Convert 5.2% to a decimal fraction.",0.052,5.2,52,520,60,1,,
70,"Convert 5.26 to a percentage.",0.00526%,0.526%,5.26%,526%,60,4,,
71,"Convert 0.654% to a decimal fraction.",0.00654,6.54,65.4,654,60,1,,
72,"Convert 684% to a decimal fraction.",0.00684,0.684,6.84,68.4,60,3,,
73,"Convert 282% to a decimal fraction.",0.00282,0.0282,2.82,282,60,3,,
74,"Convert 0.0207 to a percentage.",0.00207%,0.207%,2.07%,207%,60,3,,
75,"Convert 0.0262 to a percentage.",0.00262%,0.0262%,2.62%,26.2%,60,3,,
76,"Convert 0.877% to a decimal fraction.",0.00877,0.0877,8.77,877,60,1,,
77,"Convert 671% to a decimal fraction.",0.0671,0.671,6.71,67.1,60,3,,
78,"Convert 3.93 to a percentage.",0.0393%,0.393%,3.93%,393%,60,4,,
79,"Convert 4.24% to a decimal fraction.",0.00424,0.0424,42.4,424,60,2,,
80,"Convert 8.05% to a decimal fraction.",0.0805,0.805,80.5,805,60,1,,
81,"Convert 0.00427 to a percentage.",0.0427%,0.427%,4.27%,427%,60,2,,
82,"Convert 15% to a decimal fraction.",0.0015,0.015,0.15,1.5,60,3,,
83,"Convert 0.943% to a decimal fraction.",0.00943,0.943,9.43,943,60,1,,
84,"Convert 0.046 to a percentage.",0.046%,0.46%,4.6%,46%,60,3,,
85,"Convert 0.0056 to a percentage.",0.056%,0.56%,5.6%,560%,60,2,,
86,"Convert 71.7% to a decimal fraction.",0.717,7.17,71.7,717,60,1,,
87,"Convert 0.00616 to a percentage.",0.00616%,0.616%,6.16%,616%,60,2,,
88,"Convert 0.513 to a percentage.",0.0513%,0.513%,5.13%,51.3%,60,4,,
89,"Convert 1.8% to a decimal fraction.",0.0018,0.018,0.18,180,60,2,,
90,"Convert 1.83% to a decimal fraction.",0.00183,0.0183,0.183,18.3,60,2,,
91,"Convert 51% to a decimal fraction.",0.0051,0.51,51,510,60,2,,
92,"Convert 4.11% to a decimal fraction.",0.0411,0.411,4.11,41.1,60,1,,
93,"Convert 9.51 to a percentage.",0.00951%,0.0951%,0.951%,951%,60,4,,
94,"Convert 96.9% to a decimal fraction.",0.00969,0.0969,0.969,9.69,60,3,,
95,"Convert 0.153% to a decimal fraction.",0.00153,0.0153,0.153,153,60,1,,
96,"Convert 3.05 to a percentage.",0.0305%,3.05%,30.5%,305%,60,4,,
97,"Convert 0.505% to a decimal fraction.",0.00505,0.505,50.5,505,60,1,,
98,"Convert 185% to a decimal fraction.",0.0185,1.85,18.5,185,60,2,,
99,"Convert 0.0248 to a percentage.",0.0248%,2.48%,24.8%,248%,60,2,,
100,"Convert 0.238% to a decimal fraction.",0.00238,0.0238,2.38,23.8,60,1,,
101,"Convert 5.14 to a percentage.",0.514%,5.14%,51.4%,514%,60,4,,
102,"Convert 0.289 to a percentage.",0.00289%,2.89%,28.9%,289%,60,3,,
103,"Convert 1.14 to a percentage.",0.00114%,0.114%,11.4%,114%,60,4,,
104,"Convert 0.156% to a decimal fraction.",0.00156,0.0156,0.156,156,60,1,,
105,"Convert 0.213% to a decimal fraction.",0.00213,0.0213,0.213,213,60,1,,
106,"Convert 0.867% to a decimal fraction.",0.00867,0.0867,8.67,867,60,1,,
107,"Convert 296% to a decimal fraction.",0.00296,0.296,2.96,296,60,3,,
108,"Convert 3.56 to a percentage.",0.00356%,0.0356%,3.56%,356%,60,4,,
109,"Convert 96.4% to a decimal fraction.",0.00964,0.964,9.64,96.4,60,2,,
110,"Convert 0.00733 to a percentage.",0.00733%,0.733%,73.3%,733%,60,2,,
111,"Convert 4.78 to a percentage.",0.00478%,0.0478%,4.78%,478%,60,4,,
112,"Convert 0.718 to a percentage.",0.00718%,0.0718%,7.18%,71.8%,60,4,,
113,"Convert 97.1% to a decimal fraction.",0.00971,0.971,9.71,97.1,60,2,,
114,"Convert 0.00274 to a percentage.",0.0274%,0.274%,2.74%,27.4%,60,2,,
115,"Convert 46.4% to a decimal fraction.",0.00464,0.0464,0.464,46.4,60,3,,
116,"Convert 5.34% to a decimal fraction.",0.00534,0.0534,5.34,53.4,60,2,,
117,"Convert 0.76 to a percentage.",0.0076%,0.076%,76%,760%,60,3,,
118,"Convert 6.86 to a percentage.",0.0686%,0.686%,6.86%,686%,60,4,,
119,"Convert 671% to a decimal fraction.",0.671,6.71,67.1,671,60,2,,
120,"Convert 57.6% to a decimal fraction.",0.00576,0.0576,0.576,57.6,60,3,,
121,"Convert 951% to a decimal fraction.",0.0951,0.951,9.51,951,60,3,,
122,"Convert 0.0712 to a percentage.",0.712%,7.12%,71.2%,712%,60,2,,
123,"Convert 30.6% to a decimal fraction.",0.306,3.06,30.6,306,60,1,,
124,"Convert 257% to a decimal fraction.",0.00257,0.0257,2.57,25.7,60,3,,
125,"Convert 8.02 to a percentage.",0.802%,8.02%,80.2%,802%,60,4,,
126,"Convert 0.00583 to a percentage.",0.583%,5.83%,58.3%,583%,60,1,,
127,"Convert 649% to a decimal fraction.",0.00649,0.0649,6.49,64.9,60,3,,
128,"Convert 828% to a decimal fraction.",0.828,8.28,82.8,828,60,2,,
129,"Convert 805% to a decimal fraction.",0.805,8.05,80.5,805,60,2,,
130,"Convert 0.00311 to a percentage.",0.00311%,0.311%,3.11%,311%,60,2,,
131,"Convert 0.946% to a decimal fraction.",0.00946,0.946,9.46,94.6,60,1,,
132,"Convert 13.5% to a decimal fraction.",0.0135,0.135,13.5,135,60,2,,
133,"Convert 0.00254 to a percentage.",0.00254%,0.254%,25.4%,254%,60,2,,
134,"Convert 0.0675 to a percentage.",0.0675%,0.675%,6.75%,67.5%,60,3,,
