1:		2	-3	6	-6	11	8
2:		7	12	-9	-3	2	-5
3:		8	-3	9	-5	10	-10
4:		-4	-5	-7	6	-7	-6
5:		-12	-8	10	-8	9	3
6:		9	8	-4	-2	12	-12
7:		7	-8	-9	7	12	-3
8:		6	6	4	2	-3	3
9:		12	12	-12	10	-12	4
10:		8	-9	8	-3	-3	-9
11:		-9	10	-9	-8	-10	-4
12:		3	-3	-9	7	11	10
13:		-8	7	-4	10	-7	-5
14:		-5	6	-11	-2	2	-6
15:		-3	10	2	-8	8	-12
16:		-11	10	6	-10	-6	-3
17:		2	12	-9	-3	-8	-10
18:		3	-3	6	-9	5	-12
19:		-4	5	11	-10	9	8
20:		-10	9	-6	-3	-12	-4
21:		10	7	-6	12	6	12
22:		-12	5	-8	-12	-6	8
23:		-9	3	2	-7	12	12
24:		-3	-11	-11	9	-7	4
25:		-10	12	-10	5	-2	-8
26:		-7	12	12	-2	8	-11
27:		10	-10	-4	2	-4	10
28:		-10	-10	-6	-6	-10	7
29:		11	9	9	-10	5	5
30:		4	6	4	11	6	-2
31:		9	12	11	-11	7	-10
32:		-5	-8	8	10	-6	4
33:		3	6	6	5	9	-4
34:		11	-4	12	-9	-5	-6
35:		-11	-2	-10	-3	3	6
36:		5	9	-5	9	-3	-6
37:		-12	-5	2	2	-8	2
38:		6	-12	-12	-6	5	-11
39:		9	-11	12	5	-6	10
40:		6	-7	8	-6	6	-3
41:		-9	-5	12	-8	5	7
42:		10	11	6	6	-12	-10
43:		9	-3	-6	-8	-7	-2
44:		2	8	-8	7	-3	9
45:		8	-2	-5	12	-6	9
46:		5	5	11	10	-6	-12
47:		-5	-10	-9	3	9	-6
48:		-10	11	-8	6	10	-6
49:		-10	6	3	-2	6	12
50:		12	-6	9	-2	-9	-12
