"Blooket
Import Template",,,,,,,,,
Question #,Question Text,Answer 1,Answer 2,"Answer 3
(Optional)","Answer 4
(Optional)","Time Limit (sec)
(Max: 300 seconds)","Correct Answer(s)
(Only include Answer #)",,
1,"Select the growth factor that will model an increase of 65%",1 - 0.35,1.65,1 - 0.65,1 + 0.35,12,2,,
2,"Select the growth factor that will model a decrease of 9%",1 + 0.91,1 + 0.09,1.09,0.91,12,4,,
3,"Select the growth factor that will model an increase of 68%",0.32,1 + 0.32,1 - 0.68,1 + 0.68,12,4,,
4,"Select the growth factor that will model an increase of 57%",1.57,1 - 0.57,0.57,1 + 0.43,12,1,,
5,"Select the growth factor that will model an increase of 26%",1 - 0.74,1 + 0.74,1.74,1.26,12,4,,
6,"Select the growth factor that will model an increase of 61%",0.39,1 + 0.39,1 + 0.61,1 - 0.39,12,3,,
7,"Select the growth factor that will model a decrease of 71%",0.29,0.71,1.29,1 - 0.29,12,1,,
8,"Select the growth factor that will model an increase of 51%",1.49,1 + 0.49,1.51,1 - 0.49,12,3,,
9,"Select the growth factor that will model an increase of 35%",1 + 0.65,0.35,1 + 0.35,1.65,12,3,,
10,"Select the growth factor that will model a decrease of 52%",1 + 0.48,1 - 0.52,0.52,1.48,12,2,,
11,"Select the growth factor that will model an increase of 96%",0.04,1 + 0.04,0.96,1.96,12,4,,
12,"Select the growth factor that will model an increase of 69%",1 + 0.31,1 + 0.69,0.69,1 - 0.69,12,2,,
13,"Select the growth factor that will model a decrease of 54%",1 + 0.46,0.54,1.54,0.46,12,4,,
14,"Select the growth factor that will model a decrease of 79%",1 + 0.79,1.21,0.21,0.79,12,3,,
15,"Select the growth factor that will model an increase of 65%",1 + 0.35,1 - 0.35,1.65,0.35,12,3,,
16,"Select the growth factor that will model an increase of 61%",1 + 0.61,0.61,1 + 0.39,1.39,12,1,,
17,"Select the growth factor that will model a decrease of 82%",1.18,1 + 0.82,1 + 0.18,0.18,12,4,,
18,"Select the growth factor that will model an increase of 34%",0.66,1.66,1 + 0.34,1 - 0.34,12,3,,
19,"Select the growth factor that will model a decrease of 92%",1 - 0.08,1 + 0.92,1 - 0.92,0.92,12,3,,
20,"Select the growth factor that will model a decrease of 87%",0.13,1.87,1 - 0.13,1 + 0.13,12,1,,
