"","S"
"1",0
"2",0.0339042916893959
"3",0.0677696019411087
"4",0.101556986570358
"5",0.135227605700493
"6",0.168742716312408
"7",0.20206381380558
"8",0.235152572393417
"9",0.267970949411392
"10",0.300481200218201
"11",0.332645952701569
"12",0.36442819237709
"13",0.395791441202164
"14",0.426699578762054
"15",0.457117080688477
"16",0.487008959054947
"17",0.516340911388397
"18",0.545079112052917
"19",0.573190569877625
"20",0.60064297914505
"21",0.627404689788818
"22",0.653445065021515
"23",0.678734064102173
"24",0.703242599964142
"25",0.726942539215088
"26",0.749806642532349
"27",0.771808564662933
"28",0.792923092842102
"29",0.813125848770142
"30",0.832393646240234
"31",0.850704312324524
"32",0.868036866188049
"33",0.884371280670166
"34",0.899688839912415
"35",0.913971900939941
"36",0.927204012870789
"37",0.939370036125183
"38",0.950455904006958
"39",0.960448980331421
"40",0.969337642192841
"41",0.977111756801605
"42",0.983762323856354
"43",0.9892817735672
"44",0.993663668632507
"45",0.99690306186676
"46",0.998996198177338
"47",0.999940574169159
"48",0.999735236167908
"49",0.998380422592163
"50",0.9958775639534
"51",0.992229640483856
"52",0.987440824508667
"53",0.981516599655151
"54",0.974463820457458
"55",0.966290533542633
"56",0.957006216049194
"57",0.946621477603912
"58",0.935148298740387
"59",0.922599852085114
"60",0.908990621566772
"61",0.894336104393005
"62",0.878653347492218
"63",0.861960232257843
"64",0.844276010990143
"65",0.825621008872986
"66",0.806016683578491
"67",0.785485625267029
"68",0.76405131816864
"69",0.741738498210907
"70",0.718572854995728
"71",0.694580912590027
"72",0.669790387153625
"73",0.644229650497437
"74",0.617928147315979
"75",0.590916216373444
"76",0.563224732875824
"77",0.534885704517365
"78",0.505931615829468
"79",0.476395815610886
"80",0.446312218904495
"81",0.415715456008911
"82",0.384640663862228
"83",0.353123605251312
"84",0.321200519800186
"85",0.288908123970032
"86",0.256283521652222
"87",0.223364233970642
"88",0.190188109874725
"89",0.156793311238289
"90",0.123218223452568
"91",0.0895014554262161
"92",0.0556817725300789
"93",0.0217980686575174
"94",-0.0121107008308172
"95",-0.0460055433213711
"96",-0.0798474922776222
"97",-0.113597624003887
"98",-0.147217139601707
"99",-0.180667385458946
"100",-0.21390987932682
"101",-0.24690642952919
"102",-0.279619067907333
"103",-0.312010198831558
"104",-0.34404256939888
"105",-0.375679343938828
"106",-0.406884163618088
"107",-0.437621116638184
"108",-0.467854887247086
"109",-0.497550696134567
